; CALIBRATION NO......:-32542
; SENSOR TYPE.........:-Cernox
; SENSOR SERIAL NO....:-X12175
; INSTALLED IN........:-HX
; CHANNEL NO..........:-1
; USED ON PROJECT NO..:-22131
; PROJECT NAME........:-Colton
; DATA SAVED AS.......:-X12175.DAT
14:41:27      04-28-2005
Generated by BR2OB.BAS
T, R
K, -


 1.439324      55680.45 
 1.505962      48735.96 
 1.610975      40253.86 
 2.012763      22586.05 
 2.406927      14949.88 
 2.812436      10776.96 
 3.206382      8344.987 
 3.603907      6733.429 
 4.000758      5612.805 
 4.198121      5175.646 
 4.604994      4449.597 
 5.408471      3468.824 
 6.201169      2841.553 
 7.007029      2398.454 
 7.998299      2012.287 
 9.008655      1729.781 
 10.0101       1519.629 
 11.00423      1357.282 
 13.00045      1120.109 
 14.00157      1030.976 
 16.01389      890.4866 
 18.01723      785.6786 
 20.06958      702.3212 
 22.50379      624.9377 
 25.00839      562.204 
 27.53392      511.2296 
 30.06894      469.1294 
 32.58548      434.1158 
 35.0177       405.2556 
 40.0129       357.3313 
 50.15683      289.9932 
 60.10807      246.241 
 70.26975      214.2938 
 80.34927      190.4406 
 90.37257      171.8369 
 100.6333      156.4619 
 125.8763      128.752 
 151.3332      109.6375 
 175.9662      96.09481 
 201.5997      85.33461 
 226.7771      77.0484 
 251.7261      70.43257 
 273.1844      65.69879 
 273.3987      65.65527 
 299.9402      60.74656 
